ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2020;RN;ACARI;Prefeito;FERNANDO;SOLIDARIEDADE;ELEITO;1;3999;55.99;SIM
2020;RN;ACARI;Prefeito;GILSON DA FARMÁCIA;PT;NÃO ELEITO;1;3143;44.01;NAO
2020;RN;ACARI;Vereador;ADILSON DO RELÓGIO;PT;NÃO ELEITO;1;14;0.2;NAO
2020;RN;ACARI;Vereador;ALBERVÂNIA MEDEIROS;SOLIDARIEDADE;ELEITO POR MÉDIA;1;347;5.03;SIM
2020;RN;ACARI;Vereador;ANDINHO DE BULHÕES;MDB;SUPLENTE;1;60;0.87;NAO
2020;RN;ACARI;Vereador;ARMANDO MEDEIROS;SOLIDARIEDADE;SUPLENTE;1;326;4.72;NAO
2020;RN;ACARI;Vereador;BADA;MDB;ELEITO POR QP;1;454;6.58;SIM
2020;RN;ACARI;Vereador;BIBI;MDB;SUPLENTE;1;30;0.43;NAO
2020;RN;ACARI;Vereador;CARLINHOS DE EUZÉBIO;PSB;SUPLENTE;1;78;1.13;NAO
2020;RN;ACARI;Vereador;CLEIDEANE DE MOCINHA;SOLIDARIEDADE;SUPLENTE;1;86;1.25;NAO
2020;RN;ACARI;Vereador;ERIVAN ENFERMEIRO;MDB;ELEITO POR MÉDIA;1;332;4.81;SIM
2020;RN;ACARI;Vereador;FILIPE DE MATEA;SOLIDARIEDADE;SUPLENTE;1;179;2.59;NAO
2020;RN;ACARI;Vereador;GIRLENE EDSON;MDB;SUPLENTE;1;301;4.36;NAO
2020;RN;ACARI;Vereador;GUIA FOFA;PSB;SUPLENTE;1;85;1.23;NAO
2020;RN;ACARI;Vereador;IRMÃO SIDNEI;SOLIDARIEDADE;SUPLENTE;1;101;1.46;NAO
2020;RN;ACARI;Vereador;IRMÃO TOINHO;MDB;SUPLENTE;1;25;0.36;NAO
2020;RN;ACARI;Vereador;ISAC LIMA;MDB;SUPLENTE;1;24;0.35;NAO
2020;RN;ACARI;Vereador;ITINHO;PSB;SUPLENTE;1;177;2.56;NAO
2020;RN;ACARI;Vereador;JOSÉLIA LÔPO;PT;NÃO ELEITO;1;10;0.14;NAO
2020;RN;ACARI;Vereador;LEANDRO LEKA;MDB;SUPLENTE;1;189;2.74;NAO
2020;RN;ACARI;Vereador;LEÓ ;PSB;SUPLENTE;1;257;3.72;NAO
2020;RN;ACARI;Vereador;MARGARIDA ARAÚJO;MDB;SUPLENTE;1;106;1.54;NAO
2020;RN;ACARI;Vereador;MARIA SEREIA;PT;NÃO ELEITO;1;79;1.14;NAO
2020;RN;ACARI;Vereador;MARINEIDE DE TEREZINHA;MDB;ELEITO POR QP;1;479;6.94;SIM
2020;RN;ACARI;Vereador;MARLON BEZERRA;PSB;SUPLENTE;1;203;2.94;NAO
2020;RN;ACARI;Vereador;MÁRCIA ACARI;PSB;SUPLENTE;1;4;0.06;NAO
2020;RN;ACARI;Vereador;NENEN;PSB;ELEITO POR MÉDIA;1;392;5.68;SIM
2020;RN;ACARI;Vereador;PALOMA DE LANZINHA;SOLIDARIEDADE;ELEITO POR QP;1;434;6.29;SIM
2020;RN;ACARI;Vereador;PAULO DE GOIANO;SOLIDARIEDADE;SUPLENTE;1;17;0.25;NAO
2020;RN;ACARI;Vereador;PROFESSOR JOSÉ EVANI;SOLIDARIEDADE;SUPLENTE;1;61;0.88;NAO
2020;RN;ACARI;Vereador;RAFAEL BEZERRA;PSB;ELEITO POR QP;1;607;8.79;SIM
2020;RN;ACARI;Vereador;RAQUEL RUFINO;PSB;SUPLENTE;1;9;0.13;NAO
2020;RN;ACARI;Vereador;RIC;SOLIDARIEDADE;ELEITO POR QP;1;393;5.69;SIM
2020;RN;ACARI;Vereador;RODRIGO RANIERE;PT;NÃO ELEITO;1;132;1.91;NAO
2020;RN;ACARI;Vereador;SANDRA DA TAPIOCA;SOLIDARIEDADE;SUPLENTE;1;126;1.83;NAO
2020;RN;ACARI;Vereador;TIQUINHO DO POVO;PT;NÃO ELEITO;1;240;3.48;NAO
2020;RN;ACARI;Vereador;TOINHO DE GOIANO;PT;NÃO ELEITO;1;33;0.48;NAO
2020;RN;ACARI;Vereador;VITÓRIA GARCIA;PT;NÃO ELEITO;1;4;0.06;NAO
2020;RN;ACARI;Vereador;ZUIL RIBEIRO;PSB;ELEITO POR QP;1;509;7.37;SIM
2020;RN;AFONSO BEZERRA;Prefeito;HAROLDO DE JANGO;PSDB;NÃO ELEITO;1;3944;49.12;NAO
2020;RN;AFONSO BEZERRA;Prefeito;NETO DE ZORAIDE;PT;ELEITO;1;4085;50.88;SIM
2020;RN;AFONSO BEZERRA;Vereador;ALDENOR;MDB;ELEITO POR MÉDIA;1;545;7.01;SIM
2020;RN;AFONSO BEZERRA;Vereador;ANY DE JOAN;PL;ELEITO POR QP;1;932;11.99;SIM
2020;RN;AFONSO BEZERRA;Vereador;DEDÉ DE CAPUETA;PL;SUPLENTE;1;38;0.49;NAO
2020;RN;AFONSO BEZERRA;Vereador;DO CÉU PIRES;CIDADANIA;SUPLENTE;1;97;1.25;NAO
2020;RN;AFONSO BEZERRA;Vereador;EGINA SOUZA;PL;ELEITO POR QP;1;436;5.61;SIM
2020;RN;AFONSO BEZERRA;Vereador;FABIANA;MDB;SUPLENTE;1;7;0.09;NAO
2020;RN;AFONSO BEZERRA;Vereador;FERNANDA;MDB;SUPLENTE;1;3;0.04;NAO
2020;RN;AFONSO BEZERRA;Vereador;GABRIELA DE LENIRA;PSDB;NÃO ELEITO;1;24;0.31;NAO
2020;RN;AFONSO BEZERRA;Vereador;GILVAN AVELINO;MDB;SUPLENTE;1;147;1.89;NAO
2020;RN;AFONSO BEZERRA;Vereador;GISLENE DE BILIA;PSDB;NÃO ELEITO;1;34;0.44;NAO
2020;RN;AFONSO BEZERRA;Vereador;JERRY ALMEIDA;PL;ELEITO POR QP;1;1074;13.82;SIM
2020;RN;AFONSO BEZERRA;Vereador;JOAB TAVARES;CIDADANIA;SUPLENTE;1;59;0.76;NAO
2020;RN;AFONSO BEZERRA;Vereador;JOAQUIM AVELINO;CIDADANIA;ELEITO POR QP;1;519;6.68;SIM
2020;RN;AFONSO BEZERRA;Vereador;JOSEMBERG SANTOS;CIDADANIA;ELEITO POR MÉDIA;1;392;5.04;SIM
2020;RN;AFONSO BEZERRA;Vereador;JOÃO DE ANTÔNIO PEQUENO;PSDB;NÃO ELEITO;1;118;1.52;NAO
2020;RN;AFONSO BEZERRA;Vereador;JOÃO PAULO DE NELY;PSDB;NÃO ELEITO;1;87;1.12;NAO
2020;RN;AFONSO BEZERRA;Vereador;JULIO DE SOUZA;MDB;SUPLENTE;1;60;0.77;NAO
2020;RN;AFONSO BEZERRA;Vereador;JÚNIOR DE PATROCINIO;PL;SUPLENTE;1;109;1.4;NAO
2020;RN;AFONSO BEZERRA;Vereador;LALIA;PL;SUPLENTE;1;279;3.59;NAO
2020;RN;AFONSO BEZERRA;Vereador;LEIDINHA DE GUSTAVO;PL;SUPLENTE;1;320;4.12;NAO
2020;RN;AFONSO BEZERRA;Vereador;MANUEL DO PASTEL;PSDB;NÃO ELEITO;1;12;0.15;NAO
2020;RN;AFONSO BEZERRA;Vereador;MANUEL SOLDADO;CIDADANIA;SUPLENTE;1;130;1.67;NAO
2020;RN;AFONSO BEZERRA;Vereador;MIUDA;CIDADANIA;SUPLENTE;1;20;0.26;NAO
2020;RN;AFONSO BEZERRA;Vereador;PETISHOW;PL;SUPLENTE;1;21;0.27;NAO
2020;RN;AFONSO BEZERRA;Vereador;ROCHELLE;MDB;SUPLENTE;1;10;0.13;NAO
2020;RN;AFONSO BEZERRA;Vereador;ROSE;CIDADANIA;SUPLENTE;1;2;0.03;NAO
2020;RN;AFONSO BEZERRA;Vereador;SERGINHO BANDEIRA;PL;ELEITO POR QP;1;328;4.22;SIM
2020;RN;AFONSO BEZERRA;Vereador;THIAGO CASTELO;MDB;ELEITO POR QP;1;801;10.31;SIM
2020;RN;AFONSO BEZERRA;Vereador;TICO AQUINO;CIDADANIA;SUPLENTE;1;342;4.4;NAO
2020;RN;AFONSO BEZERRA;Vereador;VAL FILHO;PSDB;NÃO ELEITO;1;31;0.4;NAO
2020;RN;AFONSO BEZERRA;Vereador;VIO;CIDADANIA;SUPLENTE;1;123;1.58;NAO
2020;RN;AFONSO BEZERRA;Vereador;WALDICK UMBELINO;MDB;ELEITO POR QP;1;640;8.23;SIM
2020;RN;AFONSO BEZERRA;Vereador;ZÉ FILHO;PL;SUPLENTE;1;32;0.41;NAO
2020;RN;ALEXANDRIA;Prefeito;DAVID ABRANTES;PC do B;NÃO ELEITO;1;3319;37.99;NAO
2020;RN;ALEXANDRIA;Prefeito;JEANE FERREIRA;PSD;ELEITO;1;5418;62.01;SIM
2020;RN;ALEXANDRIA;Vereador;ALLAN DE EDILBERTO;PSDB;ELEITO POR MÉDIA;1;590;6.99;SIM
2020;RN;ALEXANDRIA;Vereador;ANA PAULA;PL;SUPLENTE;1;38;0.45;NAO
2020;RN;ALEXANDRIA;Vereador;ANTÔNIA SOARES;PSDB;SUPLENTE;1;9;0.11;NAO
2020;RN;ALEXANDRIA;Vereador;CHICO ALMEIDA;PL;SUPLENTE;1;197;2.33;NAO
2020;RN;ALEXANDRIA;Vereador;CHICO PENHA;PT;NÃO ELEITO;1;22;0.26;NAO
2020;RN;ALEXANDRIA;Vereador;CHIQUINHO PIRES;PSDB;ELEITO POR QP;1;691;8.18;SIM
2020;RN;ALEXANDRIA;Vereador;CÍCERO BERNARDINO;PSDB;ELEITO POR QP;1;671;7.95;SIM
2020;RN;ALEXANDRIA;Vereador;DEASSIS;PSDB;SUPLENTE;1;552;6.54;NAO
2020;RN;ALEXANDRIA;Vereador;DÉBORA PAIVA;PC do B;NÃO ELEITO;1;497;5.89;NAO
2020;RN;ALEXANDRIA;Vereador;GIL FÁBIO;PSDB;ELEITO POR QP;1;608;7.2;SIM
2020;RN;ALEXANDRIA;Vereador;GIL OLIVEIRA;PSDB;SUPLENTE;1;474;5.61;NAO
2020;RN;ALEXANDRIA;Vereador;IONE;PSDB;SUPLENTE;1;39;0.46;NAO
2020;RN;ALEXANDRIA;Vereador;JANDUI JUNIOR;PL;ELEITO POR QP;1;700;8.29;SIM
2020;RN;ALEXANDRIA;Vereador;JOAO VICTOR DE CIACA;PL;ELEITO POR QP;1;576;6.82;SIM
2020;RN;ALEXANDRIA;Vereador;LUCAS DE SOUSA;PL;SUPLENTE;1;55;0.65;NAO
2020;RN;ALEXANDRIA;Vereador;LUCAS PEREIRA;PC do B;NÃO ELEITO;1;19;0.23;NAO
2020;RN;ALEXANDRIA;Vereador;NINA MOREIRA;PSDB;SUPLENTE;1;61;0.72;NAO
2020;RN;ALEXANDRIA;Vereador;PROFESSORA RITINHA;PT;NÃO ELEITO;1;28;0.33;NAO
2020;RN;ALEXANDRIA;Vereador;RAIMUNDINHO;PSDB;ELEITO POR QP;1;935;11.07;SIM
2020;RN;ALEXANDRIA;Vereador;RAUL BEZERRA;PSDB;ELEITO POR QP;1;750;8.88;SIM
2020;RN;ALEXANDRIA;Vereador;ROSALIA MIRLA;PL;SUPLENTE;1;4;0.05;NAO
2020;RN;ALEXANDRIA;Vereador;SUÊ;PSDB;SUPLENTE;1;44;0.52;NAO
2020;RN;ALEXANDRIA;Vereador;TEIXEIRA;PL;ELEITO POR MÉDIA;1;439;5.2;SIM
2020;RN;ALEXANDRIA;Vereador;VERA DE TÚLIO;PSDB;SUPLENTE;1;8;0.09;NAO
2020;RN;ALEXANDRIA;Vereador;VERINHA DO RIACHO DO MEIO;PC do B;NÃO ELEITO;1;10;0.12;NAO
2020;RN;ALEXANDRIA;Vereador;WILMAR FILHO (PAIN);PC do B;NÃO ELEITO;1;45;0.53;NAO
2020;RN;ALEXANDRIA;Vereador;ZE MARIA;PL;SUPLENTE;1;349;4.13;NAO
2020;RN;ALEXANDRIA;Vereador;ZILDA DO SINDICATO;PL;SUPLENTE;1;13;0.15;NAO
2020;RN;ALEXANDRIA;Vereador;ZÉ FILHO;PC do B;NÃO ELEITO;1;19;0.23;NAO
2020;RN;ALMINO AFONSO;Prefeito;DR NETINHO;REPUBLICANOS;NÃO ELEITO;1;1665;36.49;NAO
2020;RN;ALMINO AFONSO;Prefeito;JÉSSICA AMORIM;MDB;ELEITO;1;1980;43.39;SIM
2020;RN;ALMINO AFONSO;Prefeito;WALDENIO AMORIM;PSB;NÃO ELEITO;1;918;20.12;NAO
2020;RN;ALMINO AFONSO;Vereador;ALDI;MDB;ELEITO POR MÉDIA;1;294;6.82;SIM
2020;RN;ALMINO AFONSO;Vereador;ALICYA CORDEIRO;REPUBLICANOS;SUPLENTE;1;1;0.02;NAO
2020;RN;ALMINO AFONSO;Vereador;ASSIS NETO;MDB;ELEITO POR QP;1;310;7.19;SIM
2020;RN;ALMINO AFONSO;Vereador;BIA;MDB;SUPLENTE;1;1;0.02;NAO
2020;RN;ALMINO AFONSO;Vereador;CELINHO;MDB;ELEITO POR QP;1;295;6.85;SIM
2020;RN;ALMINO AFONSO;Vereador;CHICO DE CILDA;MDB;SUPLENTE;1;240;5.57;NAO
2020;RN;ALMINO AFONSO;Vereador;CLEILSON CARLOS O BODE;PC do B;NÃO ELEITO;1;176;4.08;NAO
2020;RN;ALMINO AFONSO;Vereador;CYNARA DE NÔ;MDB;SUPLENTE;1;2;0.05;NAO
2020;RN;ALMINO AFONSO;Vereador;DADINHA DE CLEVERLAN;PC do B;NÃO ELEITO;1;14;0.32;NAO
2020;RN;ALMINO AFONSO;Vereador;DODÓ;MDB;ELEITO POR QP;1;350;8.12;SIM
2020;RN;ALMINO AFONSO;Vereador;DR JAIR;REPUBLICANOS;SUPLENTE;1;147;3.41;NAO
2020;RN;ALMINO AFONSO;Vereador;ELENILDO MOURA;MDB;SUPLENTE;1;60;1.39;NAO
2020;RN;ALMINO AFONSO;Vereador;GODEIRO;MDB;ELEITO POR QP;1;349;8.1;SIM
2020;RN;ALMINO AFONSO;Vereador;JORGE;MDB;SUPLENTE;1;205;4.76;NAO
2020;RN;ALMINO AFONSO;Vereador;JUNINHO DE ZÉ ADERSON;MDB;ELEITO POR MÉDIA;1;295;6.85;SIM
2020;RN;ALMINO AFONSO;Vereador;JÚNIOR DE MOURÃO;REPUBLICANOS;ELEITO POR QP;1;618;14.34;SIM
2020;RN;ALMINO AFONSO;Vereador;JÚNIOR SILVA DO EXU;PSB;NÃO ELEITO;1;32;0.74;NAO
2020;RN;ALMINO AFONSO;Vereador;KIRIA SONELLY;PSB;NÃO ELEITO;1;16;0.37;NAO
2020;RN;ALMINO AFONSO;Vereador;MARQUIM DE DÉ DE BATISTA;PC do B;NÃO ELEITO;1;22;0.51;NAO
2020;RN;ALMINO AFONSO;Vereador;NADJA NASCIMENTO;PSB;NÃO ELEITO;1;17;0.39;NAO
2020;RN;ALMINO AFONSO;Vereador;NENÉM DE DAMIÃO;PSB;NÃO ELEITO;1;217;5.04;NAO
2020;RN;ALMINO AFONSO;Vereador;QUINQUINHO DE TAMINHO;REPUBLICANOS;ELEITO POR MÉDIA;1;280;6.5;SIM
2020;RN;ALMINO AFONSO;Vereador;RUBINHO;PSB;NÃO ELEITO;1;76;1.76;NAO
2020;RN;ALMINO AFONSO;Vereador;SOUZINHA;REPUBLICANOS;ELEITO POR QP;1;285;6.61;SIM
2020;RN;ALMINO AFONSO;Vereador;ZECA;PSB;NÃO ELEITO;1;3;0.07;NAO
2020;RN;ALMINO AFONSO;Vereador;ZEZÉ;MDB;SUPLENTE;1;4;0.09;NAO
2020;RN;ALTO DO RODRIGUES;Prefeito;JAIR BARBOSA;PP;NÃO ELEITO;1;1137;13.58;NAO
2020;RN;ALTO DO RODRIGUES;Prefeito;NIXON BARACHO;DEM;ELEITO;1;6926;82.75;SIM
2020;RN;ALTO DO RODRIGUES;Prefeito;OLIVEIRA CABEÇÃO;PV;NÃO ELEITO;1;75;0.9;NAO
2020;RN;ALTO DO RODRIGUES;Prefeito;RAFAELE MOURA;PC do B;NÃO ELEITO;1;232;2.77;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;ADRIEL ALEXANDRE;PSD;NÃO ELEITO;1;60;0.72;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;ALDA CLECIA;PSD;NÃO ELEITO;1;18;0.22;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;ANA CUNHA;PC do B;NÃO ELEITO;1;9;0.11;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;BATISTA DE ZÉ DE CÍCERO;REPUBLICANOS;ELEITO POR QP;1;604;7.26;SIM
2020;RN;ALTO DO RODRIGUES;Vereador;CABRAL;REPUBLICANOS;ELEITO POR MÉDIA;1;507;6.09;SIM
2020;RN;ALTO DO RODRIGUES;Vereador;CHICO DO BODE;REPUBLICANOS;ELEITO POR QP;1;617;7.41;SIM
2020;RN;ALTO DO RODRIGUES;Vereador;ELIANE DE EPITÁCIO;DEM;SUPLENTE;1;59;0.71;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;ELIEZIO CAMPIELO;PC do B;NÃO ELEITO;1;41;0.49;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;EMÍLIA DE MÊ;DEM;SUPLENTE;1;457;5.49;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;FLAVIO FERNANDES;PC do B;NÃO ELEITO;1;3;0.04;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;IRINALDO;PSD;NÃO ELEITO;1;26;0.31;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;IRMÃO JOCITAN;DEM;SUPLENTE;1;491;5.9;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;IVALTAN FERNANDES;REPUBLICANOS;ELEITO POR QP;1;558;6.7;SIM
2020;RN;ALTO DO RODRIGUES;Vereador;IVAN MONTENEGRO FILHO;DEM;SUPLENTE;1;37;0.44;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;JACIR DE CHICO TABATINGA;PC do B;NÃO ELEITO;1;4;0.05;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;JAILSON MOTOQUEIRO;REPUBLICANOS;SUPLENTE;1;170;2.04;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;JANOCA;DEM;SUPLENTE;1;51;0.61;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;JOYCE DE JOÃO NETO;PSD;NÃO ELEITO;1;306;3.68;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;JUNIOR DE MARIÉ;PC do B;NÃO ELEITO;1;53;0.64;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;LUCIA DO ÔNIBUS;REPUBLICANOS;SUPLENTE;1;15;0.18;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;LUCY CARLA;REPUBLICANOS;SUPLENTE;1;51;0.61;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;LULA PINTOR;PC do B;NÃO ELEITO;1;61;0.73;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;MANEL DE LISTRADA;REPUBLICANOS;SUPLENTE;1;104;1.25;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;MARIA DE ANÁLIA;PSD;NÃO ELEITO;1;130;1.56;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;MARIA DO CÉU;DEM;SUPLENTE;1;7;0.08;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;MARROZINHO;PC do B;NÃO ELEITO;1;24;0.29;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;NEGUINHA DO GÁS;PC do B;NÃO ELEITO;1;32;0.38;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;NEGUINHO DE SÃO JOSÉ;REPUBLICANOS;SUPLENTE;1;416;5.0;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;NOVINHO DO CARCARÁ;PC do B;NÃO ELEITO;1;34;0.41;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;PEDRO EUGÊNIO;DEM;ELEITO POR QP;1;585;7.03;SIM
2020;RN;ALTO DO RODRIGUES;Vereador;RANI;REPUBLICANOS;SUPLENTE;1;22;0.26;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;RENAN MELO;PSD;NÃO ELEITO;1;151;1.81;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;SANDRA MIX;REPUBLICANOS;SUPLENTE;1;51;0.61;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;SANDRIANE;REPUBLICANOS;SUPLENTE;1;39;0.47;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;TAILDO BARROS;REPUBLICANOS;ELEITO POR QP;1;511;6.14;SIM
2020;RN;ALTO DO RODRIGUES;Vereador;TOINHO OLEGÁRIO;DEM;ELEITO POR QP;1;596;7.16;SIM
2020;RN;ALTO DO RODRIGUES;Vereador;TÔTA DO ASSAI;PC do B;NÃO ELEITO;1;27;0.32;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;VALDEIR SANTIAGO;PSD;NÃO ELEITO;1;15;0.18;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;WAGNER RH;REPUBLICANOS;SUPLENTE;1;220;2.64;NAO
2020;RN;ALTO DO RODRIGUES;Vereador;ZÉ DE ZECA;DEM;ELEITO POR QP;1;612;7.35;SIM
2020;RN;ALTO DO RODRIGUES;Vereador;ZÉ PEDRO;DEM;ELEITO POR MÉDIA;1;551;6.62;SIM
2020;RN;ANGICOS;Prefeito;DEUSDETE;PSDB;NÃO ELEITO;1;3460;43.9;NAO
2020;RN;ANGICOS;Prefeito;MARCILIO TORRES;SOLIDARIEDADE;NÃO ELEITO;1;301;3.82;NAO
2020;RN;ANGICOS;Prefeito;PINHEIRO;MDB;ELEITO;1;4121;52.28;SIM
2020;RN;ANGICOS;Vereador;ASSIS ROCHA;REPUBLICANOS;SUPLENTE;1;57;0.76;NAO
2020;RN;ANGICOS;Vereador;CIDA COSME;PSB;SUPLENTE;1;22;0.29;NAO
2020;RN;ANGICOS;Vereador;CLOVES;MDB;ELEITO POR QP;1;517;6.86;SIM
2020;RN;ANGICOS;Vereador;DADADO DA CAPOEIRA;REPUBLICANOS;SUPLENTE;1;44;0.58;NAO
2020;RN;ANGICOS;Vereador;DADO SARAIVA;SOLIDARIEDADE;SUPLENTE;1;69;0.92;NAO
2020;RN;ANGICOS;Vereador;EDILEUZA PALHARES;PSDB;ELEITO POR MÉDIA;1;479;6.36;SIM
2020;RN;ANGICOS;Vereador;GIL LOPES;PSB;SUPLENTE;1;11;0.15;NAO
2020;RN;ANGICOS;Vereador;GREIZI SOUZA;REPUBLICANOS;SUPLENTE;1;15;0.2;NAO
2020;RN;ANGICOS;Vereador;GRIMALDI;PSB;SUPLENTE;1;307;4.07;NAO
2020;RN;ANGICOS;Vereador;GUSTAVO SOUZA;SOLIDARIEDADE;SUPLENTE;1;106;1.41;NAO
2020;RN;ANGICOS;Vereador;ILTON OLIVEIRA;MDB;SUPLENTE;1;62;0.82;NAO
2020;RN;ANGICOS;Vereador;IVANEIDE LOPES;REPUBLICANOS;SUPLENTE;1;140;1.86;NAO
2020;RN;ANGICOS;Vereador;JACOB FILHO;SOLIDARIEDADE;SUPLENTE;1;49;0.65;NAO
2020;RN;ANGICOS;Vereador;JAILMA ARAÚJO;SOLIDARIEDADE;ELEITO POR MÉDIA;1;357;4.74;SIM
2020;RN;ANGICOS;Vereador;JALMIR FILHO;PSB;ELEITO POR MÉDIA;1;383;5.08;SIM
2020;RN;ANGICOS;Vereador;JAMESON;MDB;SUPLENTE;1;135;1.79;NAO
2020;RN;ANGICOS;Vereador;JANI CARDOSO;PSOL;NÃO ELEITO;1;1;0.01;NAO
2020;RN;ANGICOS;Vereador;JOELMA OVIDIO;REPUBLICANOS;SUPLENTE;1;76;1.01;NAO
2020;RN;ANGICOS;Vereador;JUNIOR DE CHICOLA;MDB;SUPLENTE;1;432;5.73;NAO
2020;RN;ANGICOS;Vereador;KATIA DE DEDA;MDB;SUPLENTE;1;272;3.61;NAO
2020;RN;ANGICOS;Vereador;LENA BENTO;SOLIDARIEDADE;SUPLENTE;1;22;0.29;NAO
2020;RN;ANGICOS;Vereador;LESIA;PSB;SUPLENTE;1;8;0.11;NAO
2020;RN;ANGICOS;Vereador;LUAN AGILIZADO;REPUBLICANOS;SUPLENTE;1;154;2.04;NAO
2020;RN;ANGICOS;Vereador;LUANA;MDB;SUPLENTE;1;5;0.07;NAO
2020;RN;ANGICOS;Vereador;MARINHO;PSDB;SUPLENTE;1;396;5.25;NAO
2020;RN;ANGICOS;Vereador;MELINDA EVA;MDB;SUPLENTE;1;7;0.09;NAO
2020;RN;ANGICOS;Vereador;MODESTO NETO;PSOL;NÃO ELEITO;1;49;0.65;NAO
2020;RN;ANGICOS;Vereador;NETO DE DEZIN;PSDB;SUPLENTE;1;301;3.99;NAO
2020;RN;ANGICOS;Vereador;NETO MACIEL;PSDB;ELEITO POR QP;1;552;7.32;SIM
2020;RN;ANGICOS;Vereador;NI;PSDB;SUPLENTE;1;82;1.09;NAO
2020;RN;ANGICOS;Vereador;NIVALDO GOMES;REPUBLICANOS;ELEITO POR QP;1;521;6.91;SIM
2020;RN;ANGICOS;Vereador;NOVA DE NATALY;PSDB;ELEITO POR QP;1;620;8.23;SIM
2020;RN;ANGICOS;Vereador;NOVO DE ZÉ GALEGO;SOLIDARIEDADE;SUPLENTE;1;144;1.91;NAO
2020;RN;ANGICOS;Vereador;PROFESSORA MARIA;PSOL;NÃO ELEITO;1;1;0.01;NAO
2020;RN;ANGICOS;Vereador;RAPHAEL ALVES;MDB;ELEITO POR QP;1;558;7.4;SIM
2020;RN;ANGICOS;Vereador;SAMUEL REI DO RODO;MDB;SUPLENTE;1;20;0.27;NAO
2020;RN;ANGICOS;Vereador;TIAGO BRAGA;MDB;ELEITO POR QP;1;511;6.78;SIM
2020;RN;ANGICOS;Vereador;ZÉ DE ELOIA;PSOL;NÃO ELEITO;1;8;0.11;NAO
2020;RN;ANGICOS;Vereador;ZÉ LEÃO;PSOL;NÃO ELEITO;1;43;0.57;NAO
2020;RN;ANTÔNIO MARTINS;Prefeito;JORGE FERNANDES;PSD;ELEITO;1;2867;63.5;SIM
2020;RN;ANTÔNIO MARTINS;Prefeito;JOÃO VENÂNCIO;PT;NÃO ELEITO;1;151;3.34;NAO
2020;RN;ANTÔNIO MARTINS;Prefeito;PROFESSORA VERONICA;PL;NÃO ELEITO;1;1497;33.16;NAO
2020;RN;ANTÔNIO MARTINS;Vereador;ALANE DE TOINHO;PL;SUPLENTE;1;29;0.66;NAO
2020;RN;ANTÔNIO MARTINS;Vereador;AMURAN DE ARIONE;PSD;ELEITO POR QP;1;358;8.19;SIM
2020;RN;ANTÔNIO MARTINS;Vereador;ANA MEIRE DE GERALDO DE COLOR;PL;SUPLENTE;1;46;1.05;NAO
2020;RN;ANTÔNIO MARTINS;Vereador;ANAILSON DE EDMILSON;PSD;ELEITO POR QP;1;389;8.9;SIM
2020;RN;ANTÔNIO MARTINS;Vereador;BIÔ;PL;ELEITO POR QP;1;627;14.34;SIM
2020;RN;ANTÔNIO MARTINS;Vereador;DONDON DE JAIRO;PSD;ELEITO POR QP;1;470;10.75;SIM
2020;RN;ANTÔNIO MARTINS;Vereador;GUALBERTO;PL;ELEITO POR MÉDIA;1;282;6.45;SIM
2020;RN;ANTÔNIO MARTINS;Vereador;GUILHERME DE IRAN;PL;SUPLENTE;1;133;3.04;NAO
2020;RN;ANTÔNIO MARTINS;Vereador;LIANA FERNANDES;MDB;NÃO ELEITO;1;55;1.26;NAO
