ANO_ELEICAO;SG_UF;NM_MUNICIPIO;DS_CARGO;NM_VOTAVEL;SG_PARTIDO;DS_SIT_TOT_TURNO;NR_TURNO;QT_VOTOS;PCT_VOTOS;ELEITO
2022;AC;ACRELÂNDIA;Deputado Estadual;ADAILTON CRUZ;PSB;ELEITO POR QP;1;54;0.82;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;ADALBERTO ALMEIDA;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ADALÍCIO JÚNIOR;PSB;SUPLENTE;1;5;0.08;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ADEKSON LIMA;PODE;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ADENILSON DUAM;CIDADANIA;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ADERLÂNDIO FRANÇA;PDT;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ADEVILSON QUEIROZ;PROS;NÃO ELEITO;1;2;0.03;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ADONAY;PT;SUPLENTE;1;26;0.4;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ADRIANA ANDRADE;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ADRIANA MAIA;MDB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;AFONSO CONTADOR;SOLIDARIEDADE;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;AFONSO FERNANDES;PL;ELEITO POR QP;1;45;0.68;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;ALDENORA SALES;UNIÃO;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ALEXANDRE FERNANDES;REPUBLICANOS;SUPLENTE;1;3;0.05;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ALEXANDRINA VASQUES;PATRIOTA;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ALMINERES DO ELDORADO;PDT;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;AMANDA SOUZA;PSOL;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;AMBROZIO MOURA;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ANA PAULA HONORATO;SOLIDARIEDADE;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ANDRÉ ARIOSTO;MDB;SUPLENTE;1;7;0.11;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ANDRÉ DA DROGA VALE;PODE;ELEITO POR QP;1;147;2.24;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;ANGELINO DO PANDEIRO;PV;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ANTONIA SALES;MDB;ELEITO POR QP;1;34;0.52;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;ANTONIO CHUMBÃO;MDB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ANTONIO MORAIS;PSB;SUPLENTE;1;11;0.17;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ANTONIO PEDRO;UNIÃO;SUPLENTE;1;36;0.55;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ANTÔNIA DO LANCHE;PDT;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;APARECIDA CIDINHA;PSDB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ARLENILSON CUNHA;PL;ELEITO POR QP;1;194;2.95;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;ARLETE AMARAL;PP;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;AUGUSTO;UNIÃO;SUPLENTE;1;21;0.32;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;AUGUSTO HENRIQUE;PSB;SUPLENTE;1;7;0.11;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;AZEVEDO;PL;SUPLENTE;1;26;0.4;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;BATISTA;PSB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;BEBE BOLSONARO;PP;SUPLENTE;1;7;0.11;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;BENÉ LIMA;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;BESTENE;PP;SUPLENTE;1;276;4.2;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;BETE MIRANDA;PODE;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;BETO FIGUEIREDO;PROS;NÃO ELEITO;1;4;0.06;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;BIGODE;PP;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;BRANCA DO LIBERDADE;PP;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;BRIGIDO OLIVEIRA;PROS;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;BRUNA LIMA;PROS;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;BRUNO SANTOS;PODE;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CABIDE;DC;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CANTOR IZAÍAS LIMA;UNIÃO;SUPLENTE;1;4;0.06;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CAPITÃO ESTACIO;UNIÃO;SUPLENTE;1;4;0.06;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CARLINHOS UYENO;PATRIOTA;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CARLITA SOUZA;PSB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CARLOS GOMES;PT;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CESÁRIO BRAGA;PT;SUPLENTE;1;86;1.31;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CHICARLOS;PROS;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CHICO DO ESPORTE;MDB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CHICO DO ODER;PSOL;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CHICO VIGA;PDT;ELEITO POR MÉDIA;1;2;0.03;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;CICERO FURTADO;PSDB;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CLAUDINHA;REPUBLICANOS;SUPLENTE;1;2;0.03;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CLODOALDO RODRIGUES;REPUBLICANOS;ELEITO POR QP;1;2;0.03;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;CLOVIS NUNES;PSDB;SUPLENTE;1;2;0.03;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CORONEL AUGUSTO MACIEL;PL;SUPLENTE;1;94;1.43;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;CORONEL BATISTA;PROS;NÃO ELEITO;1;18;0.27;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DAIANE SILVA;PSDB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DANIEL DORZILA;MDB;SUPLENTE;1;4;0.06;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DANIEL ZEN;PT;SUPLENTE;1;42;0.64;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DAVI LIMA;CIDADANIA;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DECA PINHEIRO;AGIR;NÃO ELEITO;1;3;0.05;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DECIO HUNIKUI;UNIÃO;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DEINIFRANCE;PP;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DELEGADA CARLA BRITTO;PDT;SUPLENTE;1;2;0.03;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DELEGADO JUDSON;PSD;SUPLENTE;1;7;0.11;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DELEGADO ROBERTH ALENCAR;PATRIOTA;NÃO ELEITO;1;6;0.09;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DENNYS;PSOL;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DEUSIMAR ALBUQUERQUE;PATRIOTA;NÃO ELEITO;1;13;0.2;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DINA;PSOL;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DIR SILVA;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DR LUZIEL CARVALHO;PL;SUPLENTE;1;4;0.06;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DR MÁRIO MARCELO;PSD;SUPLENTE;1;12;0.18;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DR WELBER DE LIMA;PSD;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DR. GILSON LEITÃO;PROS;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DR. LUCAS ESMYTH;SOLIDARIEDADE;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DR. MARCELO PIMENTA;PSB;SUPLENTE;1;25;0.38;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DR. MICHELLE MELO;PDT;ELEITO POR QP;1;265;4.03;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;DR. SAID SANTOS;PROS;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DRA CAROL;UNIÃO;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DRA HELANE CHRISTINA;REPUBLICANOS;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DRA. FABIOLA HELENA;PL;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DRIELLE MENDES;PSD;SUPLENTE;1;5;0.08;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;DUDA MARQUES;PSOL;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;EBER MACHADO;REPUBLICANOS;SUPLENTE;1;109;1.66;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;EDEMILDES PAULINO;DC;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;EDUARDO DIAS;MDB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;EDUARDO RIBEIRO;PSD;ELEITO POR MÉDIA;1;95;1.45;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;EDVALDO MAGALHÃES;PC do B;ELEITO POR QP;1;50;0.76;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;EDY BASTOS;PC do B;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ELIZABETE;CIDADANIA;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;EMERSON JARUDE;MDB;ELEITO POR QP;1;18;0.27;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;EROS ASFURY;UNIÃO;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ERÉ MORAES;PSDB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ESPERIDIÃO DOS TRANSPORTES;PSD;SUPLENTE;1;3;0.05;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ESPERIDIÃO MENEZES JUNIOR;MDB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;EVA DANTAS;PL;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;EVA GALVÃO;PSDB;SUPLENTE;1;2;0.03;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;EVANDRO CANTOR;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;FABINHO;PT;SUPLENTE;1;3;0.05;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;FAGNER CALEGÁRIO;PODE;ELEITO POR MÉDIA;1;305;4.64;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;FRANCINEUDO COSTA;UNIÃO;SUPLENTE;1;9;0.14;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;FRANCIRLEY BARROSO;PL;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;FRANCISCA BASÍLIO;MDB;SUPLENTE;1;34;0.52;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;FRANCISCA SANTIAGO;PROS;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;FRANCISCO ARAÚJO;PROS;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;FRANCISCO PINTO;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;FÁBIO ARAÚJO;PDT;SUPLENTE;1;5;0.08;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;FÁBIO DA JUDIA;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;FÁTIMA MACIEL;PSD;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;GABRIEL POLESI;PP;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;GABRIEL SANTOS;PSB;SUPLENTE;1;34;0.52;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;GEANA FERREIRA;REPUBLICANOS;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;GELMIRES LIMA;PSB;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;GENE DINIZ;REPUBLICANOS;ELEITO POR MÉDIA;1;16;0.24;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;GIGI;PDT;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;GILBERTO DINIZ;MDB;SUPLENTE;1;4;0.06;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;GILBERTO LIRA;UNIÃO;ELEITO POR QP;1;166;2.53;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;GILBERTO MEDEIROS;PSOL;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;GILSOMAR OLIVEIRA;PROS;NÃO ELEITO;1;20;0.3;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;GIS ARAUJO;PATRIOTA;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;HALISSON RODRIGO;PSB;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;HEITOR JUNIOR;PSD;SUPLENTE;1;12;0.18;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;HELENA SILVA;UNIÃO;SUPLENTE;1;3;0.05;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;HERICA GRANZOTTO;PODE;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;HERILTON FONTENELE;PSOL;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;IDESIO;PT;SUPLENTE;1;3;0.05;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;IGOR OLIVEIRA;PL;SUPLENTE;1;17;0.26;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;IRMÃ CHAGUINHA;PROS;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ISAAC PIYÃKO;PSD;SUPLENTE;1;36;0.55;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ISAAC RONALTTI;PSB;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ISMAEL MUNIZ;PL;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ITALO MESQUITA;MDB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ITAMARA SOUZA;PV;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;ITAMIR LIMA;PDT;SUPLENTE;1;44;0.67;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;IZAUTE VAZ;PATRIOTA;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JAILSON ALMEIDA;CIDADANIA;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JAIRO CARVALHO;REPUBLICANOS;SUPLENTE;1;115;1.75;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JAMYL ASFURY;REPUBLICANOS;SUPLENTE;1;54;0.82;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JANAINA DA BAIXA VERDE;DC;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JANAINA DANTAS;UNIÃO;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JAQUELINE MEDEIROS;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JECSON DUTRA;PROS;NÃO ELEITO;1;5;0.08;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JEFRSON MENDONÇA;PSD;SUPLENTE;1;3;0.05;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JENNIFER OLIVEIRA;PP;SUPLENTE;1;2;0.03;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JOANNA AYSHA;DC;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JOAO DE DEUS;UNIÃO;SUPLENTE;1;2;0.03;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JOAQUIM FLORÊNCIO;PDT;SUPLENTE;1;17;0.26;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JOCI AGUIAR;PT;SUPLENTE;1;6;0.09;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JOSEMIR ANUTE;PATRIOTA;NÃO ELEITO;1;4;0.06;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JOSSICLEUDO MELO;SOLIDARIEDADE;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JOSUÉ DOURADO;PDT;SUPLENTE;1;6;0.09;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JOSÉ MASTRANGELO;PDT;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JOYCE DOS BURACOS;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JOÃO CARLOS;PP;SUPLENTE;1;2;0.03;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JOÃO DA IDA;PROS;NÃO ELEITO;1;3;0.05;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JOÃOZINHO;PT;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JUCY;PL;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JUNIOR MANCHINERI;PT;SUPLENTE;1;8;0.12;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JUNIOR MOREIRA;MDB;SUPLENTE;1;2;0.03;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JUNIOR TOMAZ;PODE;SUPLENTE;1;3;0.05;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;JÔ CONSELHEIRA;PSD;SUPLENTE;1;12;0.18;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;KASSIO ARAÚJO;PSD;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;KEKEL MENEZES;PSD;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;KELLY CRISTINA;MDB;SUPLENTE;1;2;0.03;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LABIB;PL;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LAUANA ARAUJO;SOLIDARIEDADE;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LEANDRO CABRAL;PSOL;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LEILA GALVÃO;MDB;SUPLENTE;1;40;0.61;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LEONCIO CASTRO;PATRIOTA;NÃO ELEITO;1;6;0.09;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LEOPARDO YAWA BANE;PDT;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LETICIA YAWANAWÁ;PROS;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LETÍCIA;PC do B;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LITA ARAÚJO;SOLIDARIEDADE;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LOURIVAL MARQUES;MDB;SUPLENTE;1;2;0.03;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LUCA DO RONALDO;PL;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LUCIMAR BRINDES;MDB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LUIZ GONZAGA;PSDB;ELEITO POR QP;1;75;1.14;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;LÉIA;PSB;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;LÉO ARAÚJO;PODE;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MAGUILA;PSOL;NÃO ELEITO;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MAJOR MARIO;SOLIDARIEDADE;NÃO ELEITO;1;7;0.11;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MANELZINHO;SOLIDARIEDADE;NÃO ELEITO;1;4;0.06;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MANOEL ALMEIDA;PSB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MANOEL DA BAIXADA;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MANOEL IZO;DC;NÃO ELEITO;1;2;0.03;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MANOEL MACHADO;SOLIDARIEDADE;NÃO ELEITO;1;4;0.06;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MANOEL MORAES;PP;ELEITO POR MÉDIA;1;119;1.81;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;MARCELO BRILHANTE;SOLIDARIEDADE;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MARCELO MACÊDO;PT;SUPLENTE;1;3;0.05;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MARCIA ABREU;UNIÃO;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MARCIA LIMA;SOLIDARIEDADE;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MARCIO BERNARDO;PSD;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MARCUS CAVALCANTE;PDT;SUPLENTE;1;1;0.02;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MARIA ANTÔNIA;PP;ELEITO POR QP;1;231;3.51;SIM
2022;AC;ACRELÂNDIA;Deputado Estadual;MARIA ANTÔNIA PROTETORA;PATRIOTA;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MARIA APARECIDA LIMA;PATRIOTA;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MARIA EULÁLIA;AGIR;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MARIA EUNICE;PROS;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MARIA PERPETUO;PSOL;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MARIA VAI COM AS OUTRAS;PT;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MARQUINHO TCHUCKA S MOTOS;PSOL;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MAURICIO DO CHALÉ;PATRIOTA;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MAURICIO DOS ESPETINHOS;CIDADANIA;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MAURO DEFESON;PT;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MAYARA FARIAS;PROS;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MAZÉ RAMOS;MDB;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MEIRY OLIVEIRA;PDT;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MICHEL BOCÃO;DC;NÃO ELEITO;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MINEIRINHO;UNIÃO;SUPLENTE;1;372;5.66;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MIRTES SOUZA;PSD;SUPLENTE;1;0;0.0;NAO
2022;AC;ACRELÂNDIA;Deputado Estadual;MISSIONÁRIA KATIA;SOLIDARIEDADE;NÃO ELEITO;1;3;0.05;NAO
